Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2015-08-23,Apple Health,212.0,0.0,239.0,0.0
2015-08-24,Apple Health,8696.0,432.1,7124.0,0.0
2015-08-25,Apple Health,3706.0,208.6,3179.0,0.0
2015-08-26,Apple Health,7087.0,365.8,5902.0,0.0
2015-08-27,Apple Health,7434.0,376.0,6445.0,0.0
2015-08-28,Apple Health,5427.0,293.8,4528.0,0.0
2015-08-29,Apple Health,9793.0,285.2,7919.0,0.0
2015-08-30,Apple Health,471.0,0.0,402.0,0.0
2015-08-31,Apple Health,8402.0,399.1,6764.0,0.0
2015-09-01,Apple Health,4778.0,316.5,4411.0,0.0
2015-09-02,Apple Health,5384.0,294.9,4583.0,0.0
2015-09-03,Apple Health,7395.0,372.8,6293.0,0.0
2015-09-04,Apple Health,6438.0,305.1,5291.0,0.0
2015-09-05,Apple Health,316.0,0.0,260.0,0.0
2015-09-06,Apple Health,100.0,0.0,92.0,0.0
2015-09-07,Apple Health,4290.0,345.8,4381.0,0.0
2015-09-08,Apple Health,8546.0,400.6,7392.0,0.0
2015-09-09,Apple Health,5460.0,45.6,3969.0,0.0
2015-09-10,Apple Health,10269.0,592.6,9185.0,0.0
2015-09-11,Apple Health,9213.0,481.0,7899.0,0.0
2015-09-12,Apple Health,6184.0,306.8,5473.0,0.0
2015-09-13,Apple Health,160.0,0.0,169.0,0.0
2015-09-14,Apple Health,4498.0,276.9,3938.0,0.0
2015-09-15,Apple Health,9256.0,442.1,7925.0,0.0
2015-09-16,Apple Health,7789.0,382.4,6469.0,0.0
2015-09-17,Apple Health,8714.0,501.2,7799.0,0.0
2015-09-18,Apple Health,4746.0,310.8,4477.0,0.0
2015-09-19,Apple Health,2199.0,82.2,1776.0,0.0
2015-09-20,Apple Health,60.0,0.4,72.0,0.0
2015-09-21,Apple Health,8025.0,394.1,6183.0,0.0
2015-09-22,Apple Health,6953.0,360.7,5456.0,0.0
2015-09-23,Apple Health,8336.0,422.1,6463.0,0.0
2015-09-24,Apple Health,6255.0,242.4,4714.0,0.0
2015-09-25,Apple Health,3908.0,135.6,3042.0,0.0
2015-09-26,Apple Health,623.0,28.4,518.0,0.0
2015-09-27,Apple Health,4929.0,281.3,3915.0,0.0
2015-09-28,Apple Health,4009.0,185.4,3133.0,0.0
2015-09-29,Apple Health,5667.0,220.1,4348.0,0.0
2015-09-30,Apple Health,5944.0,310.9,4532.0,0.0
2015-10-01,Apple Health,4779.0,220.6,3662.0,0.0
2015-10-02,Apple Health,8656.0,405.5,6794.0,0.0
2015-10-03,Apple Health,308.0,0.0,277.0,0.0
2015-10-04,Apple Health,2176.0,37.8,1626.0,0.0
2015-10-05,Apple Health,4589.0,0.0,3470.0,0.0
2015-10-06,Apple Health,6023.0,0.0,4717.0,0.0
2015-10-07,Apple Health,4440.0,0.0,3267.0,0.0
2015-10-08,Apple Health,12165.0,0.0,8564.0,0.0
2015-10-09,Apple Health,12430.0,0.0,9351.0,0.0
2015-10-10,Apple Health,8664.0,0.0,6741.0,0.0
2015-10-11,Apple Health,131.0,0.0,169.0,0.0
